ticker,name,ipo_date,current_stock_price,market_cap,sector,pe_ratio,gross_profit_margin,gross_profit,total_shares_outstanding,ps_ratio,total_revenue,revenue_growth_rate_last_year
AAC,Ares Acquisition,02/02/2021,9.82,1227499901.8,Blank Check / SPAC,15.344,0.0,0,124999990,0.0,0,0.0
AAQC,Accelerate Acquisition,03/18/2021,9.77,488500029.31,Blank Check / SPAC,0,0.0,0,50000003,0.0,0,0.0
ABCL,AbCellera Biologics,12/11/2020,15.31,4311005186.55,Healthcare,23.773,47.436,443800272,281581005,9.714,443800000,1459.938
ABCM,Abcam PLC,10/22/2020,22.95,5250431989.349999,Healthcare,236.598,5.442,292137931,228776993,12.787,410620689,14.544
ABGI,ABG Acquisition I,02/17/2021,9.82,189846132,Blank Check / SPAC,2455,0.0,0,19332600,0.0,0,0.0
ABNB,Airbnb,12/10/2020,204.33,129829036004.64001,Consumer Discretionary,0,-80.739,4248559000,635389008,24.409,5318828000,46.697
ABOS,Acumen Pharmaceuticals,07/01/2021,10.29,416416738.71,Healthcare,0,0.0,0,40468099,0.0,0,0.0
ABSI,Absci,07/22/2021,11.07,1024987905,Healthcare,0,-1383.245,0,92591500,169.196,6058000,0.0
ABST,Absolute Software,10/28/2020,9.61,488703076.78,Technology,0,-4.933,115795444,50853598,3.592,136036900,26.529
ABVC,ABVC BioPharma,08/03/2021,3.37,90399232.26,Healthcare,0,-2140.238,0,26824698,198.338,455783,0.0
ACAH,Atlantic Coastal Acquisition,03/04/2021,9.75,420468750,Blank Check / SPAC,0,0.0,0,43125000,0.0,0,0.0
ACBA,Ace Global Business Acquisition,04/06/2021,10.08,61024320,Blank Check / SPAC,0,0.0,0,6054000,0.0,0,0.0
ACCD,Accolade,07/02/2020,31.88,2125254664.12,Health Care,0,-57.439,99857000,66664199,9.221,230491000,57.037
ACEV,ACE Convergence Acquisition,07/28/2020,9.95,286062500,Blank Check / SPAC,0,0.0,0,28750000,0.0,0,0.0
ACHL,Achilles Therapeutics,03/31/2021,5.33,216416655,Healthcare,0,0.0,0,40603500,0.0,0,0.0
ACI,Albertsons Companies,06/26/2020,34.73,16223250416.479998,Consumer Defensive,31.659,1.043,19976100000,467124976,0.235,68956300000,1.333
ACII,Atlas Crest Investment II,02/04/2021,9.76,420900000,Blank Check / SPAC,0,0.0,0,43125000,0.0,0,0.0
ACKIT,Ackrell SPAC Partners I,12/21/2020,10.07,153819250,Blank Check / SPAC,0,0.0,0,15275000,0.0,0,0.0
ACQR,Independence Holdings,03/09/2021,9.75,605447680.5,Blank Check / SPAC,0,0.0,0,62097198,0.0,0,0.0
ACRO,Acropolis Infrastructure Acquisition,07/09/2021,9.7,363750000,Blank Check / SPAC,0,0.0,0,37500000,0.0,0,0.0
ACT,Enact Holdings,09/16/2021,23.16,3771374330.52,Financial Services,7.787,33.527,0,162839997,3.421,1102432000,0.0
ACTD,ArcLight Clean Transition II,03/23/2021,9.8256,382170622.5888,Blank Check / SPAC,0,0.0,0,38895398,0.0,0,0.0
ACVA,ACV Auctions,03/24/2021,21.66,3369754629.96,Technology,0,-20.553,0,155575006,10.8,312021000,0.0
ACXP,Acurx Pharmaceuticals,06/25/2021,4.76,48167396.76,Healthcare,0,0.0,0,10119201,0.0,0,0.0
ADAG,Adagene,02/09/2021,9.62,419207844.38,Healthcare,0,-6084.263,0,43576699,598.088,700913,0.0
ADCT,ADC Therapeutics SA,05/15/2020,24.55,1921528450.9,Information Technology,0,-331960.992,16284,78269998,113652.833,16907,0.0
ADER,26 Capital Acquisition,01/15/2021,9.87,339281250,Blank Check / SPAC,0,0.0,0,34375000,0.0,0,0.0
ADEX,Adit EdTech Acquisition,01/12/2021,9.73,335684990.27000004,Blank Check / SPAC,0,0.0,0,34499999,0.0,0,0.0
ADF,Aldel Financial,04/09/2021,10.13,151418175,Blank Check / SPAC,0,0.0,0,14947500,0.0,0,0.0
ADGI,Adagio Therapeutics,08/06/2021,19.51,2170526461.4700003,Healthcare,0,0.0,0,111251997,0.0,0,0.0
ADOC,Edoc Acquisition,11/10/2020,10.2,120400799.99999999,Blank Check / SPAC,0,0.0,0,11804000,0.0,0,0.0
ADRA,Adara Acquisition,02/09/2021,9.82,141162500,Blank Check / SPAC,0,0.0,0,14375000,0.0,0,0.0
ADTX,Aditx,06/30/2020,1.06,28524915.880000003,Healthcare,0,0.0,0,26910298,0.0,0,0.0
AEAC,Authentic Equity Acquisition,01/15/2021,9.76,292800000,Blank Check / SPAC,0,0.0,0,30000000,0.0,0,0.0
AEI,Alset Ehome International,11/24/2020,1.6,73154880,Real Estate,0,-282.043,11017718,45721800,2.813,26004194,206.17
AFAQ,AF Acquisition,03/19/2021,9.76,273280000,Blank Check / SPAC,0,0.0,0,28000000,0.0,0,0.0
AFCG,AFC Gamma,03/19/2021,23.66,389036648,Real Estate,13.014,82.163,0,16442800,74.101,5250108,0.0
AFIB,Acutus Medical,08/06/2020,3.56,99472808,Healthcare,0,-748.439,-12402000,27941800,6.428,15475000,135.935
AFRM,Affirm Holdings,01/13/2021,139.13,39096369093.03,Information Technology,0,-75.951,483249000,281006031,40.478,965871000,62.179
AFTR,AfterNext HealthTech Acquisition,08/12/2021,9.74,304375000,Blank Check / SPAC,0,0.0,0,31250000,0.0,0,0.0
AGAC,African Gold Acquisition,02/26/2021,9.76,505080000,Blank Check / SPAC,0,0.0,0,51750000,0.0,0,0.0
AGC,Altimeter Growth Corp.,10/01/2020,13.7,856249986.3,Blank Check / SPAC,0,0.0,0,62499999,0.0,0,0.0
AGCB,Altimeter Growth 2,01/07/2021,10.33,603788479.34,Blank Check / SPAC,0,0.0,0,58449998,0.0,0,0.0
AGFY,Agrify,01/28/2021,18.95,389581698.95,Industrials,0,-82.849,-683000,20558401,10.005,38937000,314.356
AGGR,Agile Growth,03/10/2021,9.77,378587519.53999996,Blank Check / SPAC,0,0.0,0,38750002,0.0,0,0.0
AGL,agilon health,04/15/2021,24.01,9451657222.28,Healthcare,0,-22.107,0,393655028,5.587,1691680000,0.0
AGRI,AgriFORCE Growing Systems,07/08/2021,2.14,32065334.14,Consumer Defensive,0,0.0,0,14983801,0.0,0,0.0
AGTI,Agiliti,04/23/2021,23.41,3058586612.95,Healthcare,234.1,1.408,0,130652995,3.178,962402000,0.0
AHPA,Avista Public Acquisition II,08/10/2021,9.97,286637500,Blank Check / SPAC,0,0.0,0,28750000,0.0,0,0.0
AI,C3.ai,12/09/2020,40.94,4262222337.18,Information Technology,0,-47.814,0,104108997,21.842,195140000,0.0
AIP,Arteris,10/27/2021,24.7,740915279,Technology,0,-17.978,0,29996570,19.322,38346000,0.0
